BARRIO; COMUNA 
CHACARITA; 15.0 
PATERNAL; 15.0 
VILLA CRESPO; 15.0 
VILLA DEL PARQUE; 11.0 
ALMAGRO; 5.0 
CABALLITO; 6.0 
VILLA SANTA RITA; 11.0 
MONTE CASTRO; 10.0 
VILLA REAL; 10.0 
FLORES; 7.0 
FLORESTA; 10.0 
CONSTITUCION; 1.0 
SAN CRISTOBAL; 3.0 
BOEDO; 5.0 
VELEZ SARSFIELD; 10.0 
VILLA LURO; 10.0 
PARQUE PATRICIOS; 4.0 
MATADEROS; 9.0 
VILLA LUGANO; 8.0 
SAN TELMO; 1.0 
SAAVEDRA; 12.0 
COGHLAN; 12.0 
VILLA URQUIZA; 12.0 
COLEGIALES; 13.0 
BALVANERA; 3.0 
VILLA GRAL. MITRE; 11.0 
PARQUE CHAS; 15.0 
AGRONOMIA; 15.0 
VILLA ORTUZAR; 15.0 
BARRACAS; 4.0 
PARQUE AVELLANEDA; 9.0 
PARQUE CHACABUCO; 7.0 
NUEVA POMPEYA; 4.0 
PALERMO; 14.0 
VILLA RIACHUELO; 8.0 
VILLA SOLDATI; 8.0 
VILLA PUEYRREDON; 12.0 
VILLA DEVOTO; 11.0 
LINIERS; 9.0 
VERSALLES; 10.0 
PUERTO MADERO; 1.0 
MONSERRAT; 1.0 
SAN NICOLAS; 1.0 
BELGRANO; 13.0 
RECOLETA; 2.0 
RETIRO; 1.0 
NUÑEZ; 13.0 
BOCA; 4.0 
